Brazil,14
Canada,55
MN,1
Italy,29
Peru,1
USA,217
Serbia,5
KZ,3
Hungary,7
Singapore,4
France,18
MV,1
JM,1
Georgia,4
Ireland,3
Argentina,10
Venezuela,4
Brasil,4
PR,2
PS,1
Israel,17
Australia,20
Iran,5
RS,8
MS,1
Norway,4
Greece,1
NC,3
Montenegro,1
NE,1
TN,1
Slovenia,3
PA,19
China,15
Chile,2
Lebanon,3
Germany,42
CA,24
Spain,12
Ukraine,1
VA,20
Netherlands,9
CO,1
Uganda,1
GP,1
Denmark,11
Poland,27
Finland,3
Turkey,3
Belgium,2
Sweden,14
Croatia,14
IL,4
GA,7
IN,2
Switzerland,11
SA,1
Jersey,4
MD,21
MA,15
MC,1
Mexico,1
Egypt,3
MO,1
LA,10
India,18
US,2
SS,1
Austria,9
SH,1
UK,37
SL,1
SC,2
Japan,49
Taiwan,14
UA,1
BRB,1
SE,1
GB,1
