Canada,98
BD,1
BB,1
BV,1
Aruba,1
BR,1
Argentina,4
Japan,52
Slovenia,2
Germany,45
Taiwan,16
Spain,86
Netherlands,30
Jamaica,1
GA,9
Jersey,13
Pakistan,3
India,24
Turkey,17
France,38
Norway,4
PR,4
Singapore,11
PA,12
China,37
Finland,101
Sweden,31
NL,1
KY,2
Bulgaria,1
MD,15
MA,25
Portugal,5
MO,5
MN,17
US,1
Malaysia,2
Austria,4
MP,1
MS,4
Hungary,6
Brazil,9
Kuwait,1
Ireland,8
Australia,44
Iran,13
NC,23
NE,1
Chile,3
Belgium,20
Thailand,2
Georgia,3
CO,10
Denmark,3
Poland,6
CZ,1
CX,1
Croatia,10
Switzerland,5
CR,1
CV,2
KG,1
Estonia,1
Colombia,2
SC,1
SA,2
SE,1
Qatar,1
Italy,68
USA,438
DE,4
Venezuela,1
Israel,10
LA,2
TN,3
Jordan,4
TK,1
TD,1
CA,30
VA,22
UK,48
VI,1
AL,1
AR,5
IL,20
IN,3
AZ,8
Mexico,8
Egypt,6
Serbia,1
Greece,18
