Canada,61
Ethiopia,2
Argentina,18
Cameroon,1
Japan,86
KY,1
Germany,72
Spain,33
Netherlands,13
GA,3
Jersey,24
Pakistan,3
India,67
Kenya,1
Turkey,4
Bangladesh,3
France,31
Slovakia,1
Peru,1
Norway,3
Benin,1
PR,4
Singapore,7
PA,5
China,24
Finland,10
Sweden,21
Taiwan,11
Bulgaria,2
MD,5
MA,5
MC,1
UZ,1
MO,2
MN,2
US,3
Malaysia,3
Senegal,1
MP,2
MS,2
Hungary,2
Brazil,39
FR,1
Kuwait,1
Ireland,3
Nigeria,8
Australia,14
Iran,12
NC,1
Chile,3
Belgium,21
Thailand,6
Iraq,1
Georgia,4
Brasil,4
Denmark,25
Poland,3
Morocco,1
CX,6
Croatia,1
Switzerland,10
CR,2
KG,1
Portugal,5
SS,1
Tunisia,10
Colombia,3
SA,1
SE,2
DO,1
Madagascar,1
Italy,55
USA,220
DE,1
Malta,1
Venezuela,2
Israel,11
LA,5
Iceland,1
Zambia,1
Austria,24
Jordan,1
LS,1
Martinique,1
CA,19
VA,1
UK,60
AM,2
AL,1
VN,1
IL,3
IN,7
AZ,2
Mexico,8
Egypt,7
Greece,12
