Canada,44
Lithuania,1
Argentina,2
Bahrain,1
Slovenia,2
Jordan,1
Spain,13
Netherlands,46
GA,6
Albania,2
India,15
Turkey,12
Hungary,1
France,71
Slovakia,1
Norway,5
PR,1
Singapore,1
PA,26
China,24
PL,1
Finland,22
Indonesia,1
ZA,1
AL,3
UK,60
Sweden,14
Belarus,1
Bulgaria,17
MD,34
Romania,4
MA,12
Portugal,1
MO,3
MN,14
US,1
MW,1
MS,1
Japan,22
VU,4
Brazil,2
Ireland,1
ETH,1
Australia,14
Iran,2
Algeria,1
NC,18
NE,2
Belgium,13
CK,2
Georgia,4
CO,3
CN,1
Denmark,8
Poland,6
CX,1
Switzerland,13
MC,12
SR,2
Lebanon,1
SC,1
KY,2
SE,1
Italy,100
USA,225
DE,1
Israel,9
LC,1
LA,1
Austria,14
TN,2
Germany,66
CA,13
VA,2
AE,2
Uganda,2
VI,5
IS,1
AM,5
IT,1
AO,1
IL,7
IN,4
AZ,5
Mexico,2
Egypt,1
Serbia,2
Greece,1
