Canada,27
Brazil,8
Italy,12
BA,2
USA,115
Hungary,3
BH,2
France,14
Georgia,5
Ireland,2
FI,1
Norway,5
PR,14
Israel,9
Australia,6
LA,1
Singapore,4
NC,5
Slovenia,1
PA,2
China,75
Chile,1
Belgium,13
Germany,37
AE,2
CA,3
Spain,23
Netherlands,15
CO,2
Brasil,4
AG,3
Pakistan,2
Denmark,3
Tanzania,2
Finland,14
AM,1
UK,7
Sweden,6
Croatia,1
IL,2
GA,2
Thailand,5
Switzerland,3
CR,1
AZ,1
Poland,10
ES,1
GH,1
MD,8
MA,2
Portugal,2
Mexico,2
Egypt,2
MO,2
MN,1
India,11
US,9
SK,1
Austria,1
SM,1
Greece,5
Japan,53
Taiwan,10
SE,1
