Turkey,16
Brazil,14
Qatar,1
Italy,2
USA,66
Sudan,1
Nepal,1
BH,1
Cambodia,1
France,10
Georgia,5
Peru,1
Nigeria,2
Argentina,3
Uganda,1
Brasil,4
PR,1
MS,1
Australia,5
Iran,7
Indonesia,2
Singapore,2
Zimbabwe,1
NC,4
NE,1
TN,4
PA,1
China,28
Denmark,2
Belgium,3
Thailand,2
Iraq,1
Spain,14
Ukraine,1
VA,1
Canada,20
GS,1
Colombia,1
Pakistan,1
Oman,1
CA,10
IR,1
Germany,5
Morocco,1
Sweden,1
AR,2
Gabon,1
Egypt,2
GA,2
Switzerland,3
AZ,1
Jersey,3
Bulgaria,1
MD,5
MG,2
MA,1
Portugal,1
Mexico,1
Tunisia,2
RS,2
India,85
US,1
Netherlands,5
Malaysia,2
SI,1
UK,12
SC,1
Japan,16
Taiwan,13
Fiji,1
